Democrat Strength Rating,State,State Abbreviation,CD#,2018 Cook PVI Score,2018 Winner,Party,flipped_seat,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance,Hold/ Flip,Clinton Vote Share,Trump Vote Share,Obama 2012,Romney 2012,Obama 2008,McCain 2008,2016-2012,2016-2008,2012-2008,City Lab Congressional Index,,Type of District,dense_suburban,pure_urban,pure_urban,rural_suburban_mix,sparse_suburban,urban_suburban_mix,flipped_seat,,,,,
336,Nebraska,NE,1,-11,Jeff Fortenberry,R,,"93,069","141,712",0,39.60%,60.40%,0.00%,-20.70%,-20.70%,0.00%,"282,363",83.10%,x,Romney,Trump,Solid R,9.7,R Hold,36.2,57.5,40.8,57.5,44.2,54.3,4.6,8,3.4,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
311,Georgia,GA,1,-9,Buddy Carter,R,,"105,942","144,741",0,42.30%,57.70%,0.00%,-15.50%,-15.50%,0.00%,"269,568",93.00%,x,Romney,Trump,Solid R,6.5,R Hold,40.9,56.4,43,55.9,44.4,55,2.1,3.5,1.4,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
306,New York,NY,21,-4,Elise Stefanik,R,,"99,791","131,981","3,437",42.40%,56.10%,1.50%,-13.70%,-13.70%,0.00%,"283,447",83.00%,x,Obama ,Trump,Likely R,9.7,R Hold,40,53.9,52.2,46.1,52,47,12.2,12,0.2,Pure rural,,0,0,1,0,0,0,0,,,,,,
408,Louisiana,LA,3,-20,Clay Higgins,R,,"74,713","168,263","2,967",30.40%,68.40%,1.20%,-38.00%,-38.10%,0.10%,"343,017",71.70%,x,Romney,Trump,Solid R,18,R Hold,29.2,67.3,32.3,66.1,34.1,64.2,3.1,4.9,1.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
323,Florida,FL,12,-8,Gus Bilirakis,R,,"132,844","194,564","7,510",39.70%,58.10%,2.20%,-18.40%,-18.60%,0.20%,"380,363",88.10%,x,Romney,Trump,Solid R,10.4,R Hold,38.8,57.4,45.5,53,47.4,51.2,6.7,8.6,1.9,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
243,Nebraska,NE,2,-4,Don Bacon,R,,"121,770","126,715",0,49.00%,51.00%,0.00%,-2.00%,-2.20%,0.20%,"291,680",85.20%,x,Romney,Trump,Lean R,2,R Hold,46,48.2,45.7,52.8,50,48.8,0.3,4,4.3,Dense suburban,,0,1,0,0,0,0,0,,,,,,
106,California,CA,46,15,Lou Correa,D,,"102,278","45,638",0,69.10%,30.90%,0.00%,38.30%,38.00%,0.30%,"182,597",81.00%,x,Obama ,Clinton,Solid D,23.3,D Hold,66.3,27.9,61.4,36.2,58,39,4.9,8.3,3.4,Pure urban,,0,0,0,0,0,0,0,,,,,,
56,California,CA,29,29,Tony Cardenas,D,,"124,697","29,995",0,80.60%,19.40%,0.00%,61.20%,60.90%,0.30%,"196,196",78.80%,x,Obama ,Clinton,Solid D,32.2,D Hold,77.7,16.8,77,20.5,74,23,0.7,3.7,3,Pure urban,,0,0,0,0,0,0,0,,,,,,
205,Illinois,IL,6,-2,Sean Casten,D,1,"169,001","146,445",0,53.60%,46.40%,0.00%,7.20%,6.80%,0.40%,"355,920",88.60%,x,Romney,Clinton,Lean D,9.2,D Flip,50.2,43.2,45.1,53.3,51.3,47.3,5.1,1.1,6.2,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
72,Illinois,IL,1,27,Bobby Rush,D,,"189,560","50,960","17,365",73.50%,19.80%,6.70%,53.70%,53.20%,0.50%,"329,221",78.30%,x,Obama ,Clinton,Solid D,26.7,D Hold,75.4,21.4,78.9,20.2,80.8,18.5,3.5,5.4,1.9,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
424,Texas,TX,4,-28,John Ratcliffe,R,,"57,400","188,667","3,178",23.00%,75.70%,1.30%,-52.70%,-53.20%,0.50%,"281,123",88.70%,x,Romney,Trump,Solid R,24.7,R Hold,21.8,75.4,24.8,74,29,70,3,7.2,4.2,Pure rural,,2,0,1,0,0,0,0,,,,,,
379,Georgia,GA,3,-18,Drew Ferguson,R,,"101,010","191,996",0,34.50%,65.50%,0.00%,-31.10%,-31.60%,0.50%,"311,864",94.00%,x,Romney,Trump,Solid R,13.1,R Hold,32.8,64.3,33,65.9,34,65.3,0.2,1.2,1,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
75,Virginia,VA,8,21,Don Beyer,D,,"247,137","76,899",712,76.10%,23.70%,0.20%,52.40%,51.80%,0.60%,"373,446",87.00%,x,Obama ,Clinton,Solid D,31.4,D Hold,73.5,20.9,67.8,31,66.3,32.8,5.7,7.2,1.5,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
279,Florida,FL,18,-5,Brian Mast,R,,"156,454","185,905",0,45.70%,54.30%,0.00%,-8.60%,-9.20%,0.60%,"382,476",89.50%,x,Romney,Trump,Likely R,3.6,R Hold,44.1,53.3,47.7,51.4,51.2,47.9,3.6,7.1,3.5,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
84,California,CA,11,21,Mark DeSaulnier,D,,"204,369","71,312",0,74.10%,25.90%,0.00%,48.30%,47.60%,0.70%,"320,522",86.00%,x,Obama ,Clinton,Solid D,27.3,D Hold,71.5,22.7,67.6,30,69,28,3.9,2.5,1.4,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
419,Texas,TX,1,-25,Louie Gohmert,R,,"61,263","168,165","3,292",26.30%,72.30%,1.40%,-45.90%,-46.60%,0.70%,"264,551",88.00%,x,Romney,Trump,Solid R,20.9,R Hold,25.3,72.2,27.5,71.6,30,69,2.2,4.7,2.5,Pure rural,,2,0,1,0,0,0,0,,,,,,
394,Florida,FL,2,-18,Neal Dunn,R,,"96,233","199,335",0,32.60%,67.40%,0.00%,-34.90%,-35.60%,0.70%,"354,956",83.30%,x,Romney,Trump,Solid R,16.9,R Hold,30.6,66.2,34,64.6,35.2,63.4,3.4,4.6,1.2,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
427,Tennessee,TN,1,-28,Phil Roe,R,,"47,138","172,835","4,309",21.00%,77.10%,1.90%,-56.00%,-56.80%,0.80%,"266,419",84.20%,x,Romney,Trump,Solid R,28,R Hold,19.7,76.7,25.7,72.7,28.6,69.9,6,8.9,2.9,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
426,Nebraska,NE,3,-27,Adrian Smith,R,,"49,654","163,650",0,23.30%,76.70%,0.00%,-53.40%,-54.20%,0.80%,"270,185",78.90%,x,Romney,Trump,Solid R,26.4,R Hold,20,74.9,27.8,70.2,31.1,67.1,7.8,11.1,3.3,Pure rural,,2,0,1,0,0,0,0,,,,,,
310,Florida,FL,3,-9,Ted Yoho,R,,"129,880","176,616",0,42.40%,57.60%,0.00%,-15.20%,-16.00%,0.80%,"351,688",87.10%,x,Romney,Trump,Solid R,6.2,R Hold,40.2,56.2,41.9,56.6,44.2,54.6,1.7,4,2.3,Pure rural,,2,0,1,0,0,0,0,,,,,,
288,Ohio,OH,14,-5,David Joyce,R,,"137,549","169,809",0,44.80%,55.20%,0.00%,-10.50%,-11.40%,0.90%,"370,746",82.90%,x,Romney,Trump,Likely R,5.5,R Hold,42.1,53.6,47.6,50.9,49.1,49.4,5.5,7,1.5,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
92,California,CA,15,20,Eric Swalwell,D,,"177,989","65,940",0,73.00%,27.00%,0.00%,45.90%,44.90%,1.00%,"289,926",84.10%,x,Obama ,Clinton,Solid D,25.9,D Hold,69.9,24.2,68,29.8,67,30,1.9,2.9,1,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
51,Ohio,OH,11,32,Marcia Fudge,D,,"206,138","44,486",36,82.20%,17.70%,0.00%,64.50%,63.50%,1.00%,"323,308",77.50%,x,Obama ,Clinton,Solid D,32.5,D Hold,80.5,17,82.7,16.5,82,17.2,2.2,1.5,0.7,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
99,Texas,TX,16,17,Veronica Escobar,D,,"124,437","49,127","8,190",68.50%,27.00%,4.50%,41.40%,40.30%,1.10%,"194,603",93.40%,x,Obama ,Clinton,Solid D,24.4,D Hold,67.9,27.2,64.2,34.5,64,35,3.7,3.9,0.2,Dense suburban,,0,1,0,0,0,0,0,,,,,,
60,Maryland,MD,4,28,Anthony Brown,D,,"209,642","53,327","5,614",78.10%,19.90%,2.10%,58.20%,57.10%,1.10%,"325,668",82.50%,x,Obama ,Clinton,Solid D,30.2,D Hold,77.2,19.7,78.1,20.8,77.3,21.8,0.9,0.1,0.8,Dense suburban,,0,1,0,0,0,0,0,,,,,,
387,Ohio,OH,8,-17,Warren Davidson,R,,"87,281","173,852",0,33.40%,66.60%,0.00%,-33.20%,-34.30%,1.10%,"345,230",75.60%,x,Romney,Trump,Solid R,16.2,R Hold,30.6,65.1,36.4,61.9,38.1,60.3,5.8,7.5,1.7,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
403,South Carolina,SC,3,-19,Jeff Duncan,R,,"70,046","153,338","2,820",31.00%,67.80%,1.20%,-36.80%,-38.00%,1.20%,"283,968",79.70%,x,Romney,Trump,Solid R,17.8,R Hold,29,67,33.9,64.5,35.1,63.5,4.9,6.1,1.2,Pure rural,,2,0,1,0,0,0,0,,,,,,
418,Texas,TX,36,-26,Brian Babin,R,,"60,908","161,048",0,27.40%,72.60%,0.00%,-45.10%,-46.50%,1.40%,"255,510",86.90%,x,Romney,Trump,Solid R,19.1,R Hold,25.2,72,25.7,73.2,30,69,0.5,4.8,4.3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
218,California,CA,10,0,Josh Harder,D,1,"115,945","105,955",0,52.30%,47.70%,0.00%,4.50%,3.00%,1.50%,"243,067",91.30%,x,Obama ,Clinton,Lean D,4.5,D Flip,48.5,45.5,50.6,47,50,47,2.1,1.5,0.6,Dense suburban,,0,1,0,0,0,0,0,,,,,,
347,Georgia,GA,11,-17,Barry Loudermilk,R,,"118,653","191,887",0,38.20%,61.80%,0.00%,-23.60%,-25.10%,1.50%,"329,312",94.30%,x,Romney,Trump,Solid R,6.6,R Hold,35.3,60.3,31.5,66.9,34.7,64.3,3.8,0.6,3.2,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
64,Minnesota,MN,5,26,Ilhan Omar,D,,"267,703","74,440","1,215",78.00%,21.70%,0.40%,56.30%,54.70%,1.60%,"374,560",91.70%,x,Obama ,Clinton,Solid D,30.3,D Hold,73.7,18.5,73.5,24,73.4,24.5,0.2,0.3,0.1,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
303,North Carolina,NC,6,-9,Mark Walker,R,,"123,651","160,709",0,43.50%,56.50%,0.00%,-13.00%,-14.60%,1.60%,"362,448",78.50%,x,Romney,Trump,Solid R,4,R Hold,41.4,56.1,43.2,55.9,45.2,53.8,1.8,3.8,2,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
407,Arizona,AZ,4,-21,Paul Gosar,R,,"84,521","188,842","3,672",30.50%,68.20%,1.30%,-37.70%,-39.40%,1.70%,"304,185",91.10%,x,Romney,Trump,Solid R,16.7,R Hold,27.5,67.7,31,67.2,34.4,64.2,3.5,6.9,3.4,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
327,Arizona,AZ,5,-15,Andy Biggs,R,,"127,027","186,037",0,40.60%,59.40%,0.00%,-18.80%,-20.50%,1.70%,"341,437",91.70%,x,Romney,Trump,Solid R,3.8,R Hold,36.5,57.6,34.6,63.8,36.3,62.6,1.9,0.2,1.7,Dense suburban,,0,1,0,0,0,0,0,,,,,,
281,Florida,FL,16,-7,Vern Buchanan,R,,"164,463","197,483",0,45.40%,54.60%,0.00%,-9.10%,-10.80%,1.70%,"396,807",91.20%,x,Romney,Trump,Likely R,2.1,R Hold,43,53.7,45.1,53.7,47.7,51.2,2.1,4.7,2.6,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
217,Washington,WA,8,0,Kim Schrier,D,1,"164,089","148,968",0,52.40%,47.60%,0.00%,4.80%,3.00%,1.80%,"320,558",97.70%,x,Obama ,Clinton,Lean D,4.8,D Flip,47.7,44.7,49.7,48.1,51.5,46.8,2,3.8,1.8,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
170,New York,NY,25,8,Joe Morelle,D,,"159,244","110,736",0,59.00%,41.00%,0.00%,18.00%,16.20%,1.80%,"333,384",81.00%,x,Obama ,Clinton,Solid D,10,D Hold,55.5,39.1,58.8,39.4,59,40,3.3,3.5,0.2,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
312,Texas,TX,17,-12,Bill Flores,R,,"98,070","134,841","4,440",41.30%,56.80%,1.90%,-15.50%,-17.30%,1.80%,"250,189",94.90%,x,Romney,Trump,Solid R,3.5,R Hold,38.8,56.3,37.7,60.4,41,58,1.1,2.2,3.3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
287,Virginia,VA,1,-8,Rob Wittman,R,,"148,464","183,250",387,44.70%,55.20%,0.10%,-10.50%,-12.40%,1.90%,"395,784",83.90%,x,Romney,Trump,Solid R,2.5,R Hold,41.2,53.6,43.4,55.3,43.8,55.4,2.2,2.6,0.4,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
273,Texas,TX,2,-11,Dan Crenshaw,R,,"119,992","139,188","4,212",45.60%,52.80%,1.60%,-7.30%,-9.20%,1.90%,"279,891",94.10%,x,Romney,Trump,Likely R,3.7,R Hold,43.1,52.4,35.6,62.9,37,62,7.5,6.1,1.4,Dense suburban,,0,1,0,0,0,0,0,,,,,,
191,Minnesota,MN,3,1,Dean Phillips,D,,"202,404","160,839",706,55.60%,44.20%,0.20%,11.40%,9.40%,2.00%,"401,670",90.60%,x,Obama ,Clinton,Likely D,10.4,D Flip,50.8,41.4,49.6,48.8,51,47.4,1.2,0.2,1.4,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
373,Florida,FL,11,-15,Dan Webster,R,,"128,053","239,395",58,34.80%,65.10%,0.00%,-30.30%,-32.30%,2.00%,"411,005",89.40%,x,Romney,Trump,Solid R,15.3,R Hold,32.5,64.8,39.8,59.2,42.6,56.1,7.3,10.1,2.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
339,Colorado,CO,4,-13,Ken Buck,R,,"145,544","224,038",39,39.40%,60.60%,0.00%,-21.20%,-23.20%,2.00%,"402,203",91.90%,x,Romney,Trump,Solid R,8.2,R Hold,34.3,57.4,39.2,58.5,41.9,56.4,4.9,7.6,2.7,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
200,California,CA,25,0,Katie Hill,D,,"133,209","111,813",0,54.40%,45.60%,0.00%,8.70%,6.60%,2.10%,"274,459",89.30%,x,Romney,Clinton,Toss Up,8.7,D Flip,50.3,43.6,47.9,49.7,49,48,2.4,1.3,1.1,Dense suburban,,0,1,0,0,0,0,0,,,,,,
168,Washington,WA,1,6,Suzan DelBene,D,,"197,209","135,534",0,59.30%,40.70%,0.00%,18.50%,16.40%,2.10%,"347,060",95.90%,x,Obama ,Clinton,Solid D,12.5,D Hold,54.1,37.8,54.1,43.3,56.3,41.9,0,2.2,2.2,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
39,California,CA,37,37,Karen Bass,D,,"210,555","25,823",0,89.10%,10.90%,0.00%,78.20%,76.10%,2.10%,"276,134",85.60%,x,Obama ,Clinton,Solid D,41.2,D Hold,85.7,9.6,84.9,12.7,84,13,0.8,1.7,0.9,Pure urban,,0,0,0,0,0,0,0,,,,,,
262,Washington,WA,3,-4,Jaime Herrera Beutler,R,,"145,407","161,819",0,47.30%,52.70%,0.00%,-5.30%,-7.40%,2.10%,"315,150",97.50%,x,Romney,Trump,Likely R,1.3,R Hold,42.5,49.9,47.9,49.6,50.9,47.1,5.4,8.4,3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
127,Pennsylvania,PA,5,13,Mary Gay Scanlon,D,,"198,639","106,075",0,65.20%,34.80%,0.00%,30.40%,28.20%,2.20%,"367,453",82.90%,x,Obama ,Clinton,Solid D,17.4,D Flip,62.6,34.4,63.4,35.7,62.8,36.3,0.8,0.2,0.6,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
257,Ohio,OH,1,-5,Steve Chabot,R,,"141,118","154,409","5,344",46.90%,51.30%,1.80%,-4.40%,-6.60%,2.20%,"362,141",83.10%,x,Romney,Trump,Likely R,0.6,R Hold,44.6,51.2,46.3,52.4,47.2,51.8,1.7,2.6,0.9,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
192,Colorado,CO,6,2,Jason Crow,D,,"187,639","148,685","10,498",54.10%,42.90%,3.00%,11.20%,8.90%,2.30%,"380,530",91.10%,x,Obama ,Clinton,Likely D,9.2,D Flip,50.2,41.3,51.6,46.5,53.6,44.9,1.4,3.4,2,Dense suburban,,0,1,0,0,0,0,0,,,,,,
128,California,CA,41,12,Mark Takano,D,,"108,227","58,021",0,65.10%,34.90%,0.00%,30.20%,27.90%,2.30%,"206,961",80.30%,x,Obama ,Clinton,Solid D,18.2,D Hold,61,33.1,61.5,36.3,59,38,0.5,2,2.5,Dense suburban,,0,1,0,0,0,0,0,,,,,,
125,Illinois,IL,10,10,Brad Schneider,D,,"156,540","82,124",0,65.60%,34.40%,0.00%,31.20%,28.90%,2.30%,"293,238",81.40%,x,Obama ,Clinton,Solid D,21.2,D Hold,62,32.6,57.5,41.1,63,35.9,4.5,1,5.5,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
103,North Carolina,NC,1,17,G.K. Butterfield,D,,"190,457","82,218",0,69.80%,30.20%,0.00%,39.70%,37.40%,2.30%,"361,229",75.50%,x,Obama ,Clinton,Solid D,22.7,D Hold,67.5,30.5,68.1,31.2,67.3,32.2,0.6,0.2,0.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
386,Tennessee,TN,2,-20,Tim Burchett,R,,"86,668","172,856","2,609",33.10%,65.90%,1.00%,-32.90%,-35.20%,2.30%,"292,087",89.70%,x,Romney,Trump,Solid R,12.9,R Hold,29.7,65.1,30.9,67.3,34.5,64,1.2,4.8,3.6,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
233,Georgia,GA,6,-8,Lucy McBath,D,1,"160,139","156,875",18,50.50%,49.50%,0.00%,1.00%,-1.50%,2.50%,"331,262",95.70%,x,Romney,Trump,Toss Up,9,D Flip,46.8,48.3,37.5,60.8,40.1,59,9.3,6.7,2.6,Dense suburban,,0,1,0,0,0,0,0,,,,,,
152,California,CA,26,7,Julia Brownley,D,,"158,216","97,210",0,61.90%,38.10%,0.00%,23.90%,21.40%,2.50%,"298,769",85.50%,x,Obama ,Clinton,Solid D,16.9,D Hold,57.9,36,54,43.7,56,41,3.9,1.9,2,Dense suburban,,0,1,0,0,0,0,0,,,,,,
88,Illinois,IL,9,18,Jan Schakowsky,D,,"213,368","76,983",0,73.50%,26.50%,0.00%,47.00%,44.50%,2.50%,"344,539",84.30%,x,Obama ,Clinton,Solid D,29,D Hold,70.1,24.9,65,33.3,68.6,30.3,5.1,1.5,3.6,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
70,Wisconsin,WI,4,25,Gwen Moore,D,,"206,487","59,091","7,170",75.70%,21.70%,2.60%,54.00%,51.50%,2.50%,"312,481",87.30%,x,Obama ,Clinton,Solid D,29,D Hold,74,21.8,75.3,23.8,74.4,24.6,1.3,0.4,0.9,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
317,Oregon,OR,2,-11,Greg Walden,R,,"145,298","207,597","15,814",39.40%,56.30%,4.30%,-16.90%,-19.40%,2.50%,"394,121",93.60%,x,Romney,Trump,Solid R,5.9,R Hold,36.4,56.5,40.5,56.8,43.3,53.8,4.1,6.9,2.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
295,New Jersey,NJ,4,-8,Chris Smith,R,,"126,766","163,065","4,517",43.10%,55.40%,1.50%,-12.30%,-14.80%,2.50%,"356,593",82.50%,x,Romney,Trump,Solid R,4.3,R Hold,41,55.8,44.7,54.2,45.3,53.6,3.7,4.3,0.6,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
188,Virginia,VA,10,1,Jennifer Wexton,D,,"206,356","160,841",598,56.10%,43.70%,0.20%,12.40%,9.80%,2.60%,"408,608",90.00%,x,Romney,Clinton,Likely D,11.4,D Flip,52.2,42.2,48.8,49.9,49.6,49.6,3.4,2.6,0.8,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
346,South Carolina,SC,4,-15,William Timmons,R,,"89,182","145,321","9,447",36.60%,59.60%,3.90%,-23.00%,-25.60%,2.60%,"303,659",80.30%,x,Romney,Trump,Solid R,8,R Hold,34.5,60.2,36.2,62.2,37.7,60.6,1.7,3.2,1.5,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
66,Maryland,MD,7,26,Elijah Cummings,D,,"202,345","56,266","6,099",76.40%,21.30%,2.30%,55.20%,52.50%,2.70%,"323,954",81.70%,x,Obama ,Clinton,Solid D,29.2,D Hold,75.8,20.2,76.2,22.3,76.2,22.4,0.4,0.4,0,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
53,Michigan,MI,14,30,Brenda Lawrence,D,,"214,334","45,899","4,761",80.90%,17.30%,1.80%,63.60%,60.90%,2.70%,"318,900",83.10%,x,Obama ,Clinton,Solid D,33.6,D Hold,79.2,18.3,81,18.6,82.2,17.1,1.8,3,1.2,Dense suburban,,0,1,0,0,0,0,0,,,,,,
351,Florida,FL,17,-13,Greg Steube,R,,"117,194","193,326",0,37.70%,62.30%,0.00%,-24.50%,-27.20%,2.70%,"353,861",87.80%,x,Romney,Trump,Solid R,11.5,R Hold,35,62.2,41.3,57.6,43.9,54.7,6.3,8.9,2.6,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
269,New York,NY,2,-3,Peter King,R,,"113,074","128,058",0,46.90%,53.10%,0.00%,-6.20%,-8.90%,2.70%,"315,405",76.50%,x,Obama ,Trump,Likely R,3.2,R Hold,43.9,53,51.6,47.2,51,48,7.7,7.1,0.6,Dense suburban,,0,1,0,0,0,0,0,,,,,,
26,New York,NY,13,43,Adriano Espaillat,D,,"180,035","10,268",0,94.60%,5.40%,0.00%,89.20%,86.40%,2.80%,"253,675",75.00%,x,Obama ,Clinton,Solid D,46.2,D Hold,92.3,5.4,94.6,4.6,93,6,2.3,0.7,1.6,Pure urban,,0,0,0,0,0,0,0,,,,,,
360,Alabama,AL,1,-15,Bradley Byrne,R,,"89,226","153,228",163,36.80%,63.20%,0.10%,-26.40%,-29.20%,2.80%,"305,780",79.30%,x,Romney,Trump,Solid R,11.4,R Hold,34.1,63.5,37.4,61.8,38.5,60.9,3.3,4.4,1.1,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
30,Pennsylvania,PA,3,41,Dwight Evans,D,,"287,610","20,387",0,93.40%,6.60%,0.00%,86.80%,83.90%,2.90%,"373,594",82.40%,x,Obama ,Clinton,Solid D,45.8,D Hold,90.9,7,91.7,7.6,91.8,7.8,0.8,0.9,0.1,Pure urban,,0,0,0,0,0,0,0,,,,,,
430,Alabama,AL,4,-30,Robert Aderholt,R,,"46,492","184,255",222,20.10%,79.80%,0.10%,-59.60%,-62.50%,2.90%,"292,861",78.90%,x,Romney,Trump,Solid R,29.6,R Hold,17.4,80.4,24,74.8,25.5,73.3,6.6,8.1,1.5,Pure rural,,2,0,1,0,0,0,0,,,,,,
376,Ohio,OH,4,-14,Jim Jordan,R,,"89,412","167,993",0,34.70%,65.30%,0.00%,-30.50%,-33.40%,2.90%,"326,550",78.80%,x,Romney,Trump,Solid R,16.5,R Hold,30.7,64.3,42,56,43.7,54.4,11.3,13,1.7,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
260,Texas,TX,22,-10,Pete Olson,R,,"138,153","152,750","6,502",46.50%,51.40%,2.20%,-4.90%,-7.80%,2.90%,"308,653",96.40%,x,Romney,Trump,Likely R,5.1,R Hold,44.2,52.1,36.7,62.1,39,60,7.5,5.2,2.3,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
313,South Carolina,SC,5,-9,Ralph Norman,R,,"103,129","141,757","3,693",41.50%,57.00%,1.50%,-15.50%,-18.50%,3.00%,"306,561",81.10%,x,Romney,Trump,Solid R,6.5,R Hold,38.8,57.3,43.6,55.1,43.8,55,4.8,5,0.2,Pure rural,,2,0,1,0,0,0,0,,,,,,
176,Florida,FL,9,5,Darren Soto,D,,"172,172","124,565",0,58.00%,42.00%,0.00%,16.00%,12.90%,3.10%,"356,530",83.20%,x,Obama ,Clinton,Solid D,11,D Hold,54.8,41.9,55.6,43.4,54.6,44.5,0.8,0.2,1,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
344,Minnesota,MN,6,-12,Tom Emmer,R,,"122,332","192,931",463,38.70%,61.10%,0.10%,-22.40%,-25.50%,3.10%,"373,920",84.40%,x,Romney,Trump,Solid R,10.4,R Hold,33.2,58.9,41.5,56.5,43.2,54.7,8.3,10,1.7,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
304,Ohio,OH,16,-8,Anthony Gonzalez,R,,"129,681","170,029",0,43.30%,56.70%,0.00%,-13.50%,-16.60%,3.10%,"369,434",81.10%,x,Romney,Trump,Solid R,5.5,R Hold,39.5,56.2,45.2,53.4,47.2,51.3,5.7,7.7,2,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
248,Texas,TX,24,-9,Kenny Marchant,R,,"125,231","133,317","4,870",47.50%,50.60%,1.80%,-3.10%,-6.20%,3.10%,"277,497",94.90%,x,Romney,Trump,Solid R,5.9,R Hold,44.5,50.7,38,60.4,41,58,6.5,3.5,3,Dense suburban,,0,1,0,0,0,0,0,,,,,,
107,California,CA,53,14,Susan Davis,D,,"185,667","83,127",0,69.10%,30.90%,0.00%,38.10%,34.90%,3.20%,"310,373",86.60%,x,Obama ,Clinton,Solid D,24.1,D Hold,64.5,29.6,61.4,36.4,61,36,3.1,3.5,0.4,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
342,Maryland,MD,1,-14,Andy Harris,R,,"116,631","183,662","5,893",38.10%,60.00%,1.90%,-21.90%,-25.10%,3.20%,"367,987",83.20%,x,Romney,Trump,Solid R,7.9,R Hold,33.4,62,37.7,60.4,38.4,59.6,4.3,5,0.7,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
309,North Carolina,NC,5,-10,Virginia Foxx,R,,"120,468","159,917",0,43.00%,57.00%,0.00%,-14.10%,-17.30%,3.20%,"362,862",77.30%,x,Romney,Trump,Solid R,4.1,R Hold,39.8,57.4,42.3,56.5,44.6,54.2,2.5,4.8,2.3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
266,North Carolina,NC,13,-6,Ted Budd,R,,"130,402","147,570","8,344",45.50%,51.50%,2.90%,-6.00%,-9.20%,3.20%,"368,114",77.80%,x,Romney,Trump,Lean R,0,R Hold,44,53.4,46.1,52.9,47.9,51.2,2.1,3.9,1.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
202,Nevada,NV,4,3,Stu Horsford,D,,"121,962","102,748","10,158",51.90%,43.70%,4.30%,8.20%,4.90%,3.30%,"276,932",84.80%,x,Obama ,Clinton,Likely D,5.2,D Hold,49.5,44.6,54.4,43.7,56.4,41.4,4.9,6.9,2,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
